Block,Cycle,Step,N_TimeStep,Time,Exx,Eyy,Ezz,Exy,Exz,Eyz,Sxx,Syy,Szz,Sxy,Sxz,Syz,Wm,Wm_r,Wm_ir,Wm_d
1,1,1,1,0.100,0.002,-0.000584524572112181,-0.0005906725636804376,-7.916460792614098e-06,1.6438191463066953e-05,6.2133248370829166e-06,11.32169610500969,5.423455738326477e-14,8.52887638985722e-15,-3.5930459996169617e-16,2.52510685971874e-16,2.0872247073061567e-16,0.011321696105009629,0.011321696105009629,0.0,0.0
1,1,1,2,0.200,0.004,-0.0011690491442243732,-0.001181345127360864,-1.583292158523708e-05,3.287638292614002e-05,1.2426649674168723e-05,33.96508831502853,-4.6421308637356606e-14,-5.549727344345001e-14,4.96564594998361e-17,-1.873935034923946e-15,4.544975507059235e-16,0.056608480525047945,0.056608480525047945,0.0,0.0
1,1,1,3,0.300,0.006,-0.0017535737163365459,-0.0017720176910413143,-2.3749382377844197e-05,4.9314574389196073e-05,1.8639974511246224e-05,56.6084805250479,5.754294610249566e-15,-4.969722550152156e-14,-5.5348520905385e-16,4.588343593958655e-16,-1.7433970933566911e-16,0.14718204936512497,0.14718204936512497,0.0,0.0
1,1,1,4,0.400,0.008,-0.0023380982884487395,-0.002362690254721739,-3.166584317046489e-05,6.575276585227278e-05,2.485329934833388e-05,79.2518727350675,3.98509350518772e-15,-2.706168622523819e-15,-2.203098814490545e-16,1.3062467774105357e-15,3.2526065174565133e-16,0.2830424026252395,0.2830424026252395,0.0,0.0
1,1,1,5,0.500,0.01,-0.0029226228605609174,-0.002953362818402184,-3.958230396308302e-05,8.219095731532732e-05,3.1066624185417224e-05,101.89526494508655,4.7135038927503814e-14,1.8138268664813495e-14,1.9530817935153877e-15,-9.743074402823737e-15,4.2175464509686122e-16,0.46418954030538945,0.46418954030538945,0.0,0.0
1,1,1,6,0.600,0.012,-0.003507147432673111,-0.0035440353820826095,-4.749876475569801e-05,9.862914877841039e-05,3.727994902249968e-05,124.53865715510572,-8.152202871092307e-14,-5.787037515858628e-14,3.313972360419193e-15,-8.94249951866044e-16,-2.2260839005472377e-15,0.6906234624055803,0.6906234624055803,0.0,0.0
1,1,1,7,0.700,0.014,-0.004091672004785281,-0.004134707945763056,-5.541522554831548e-05,0.00011506734024146299,4.349327385958552e-05,147.18204936512387,1.1611371586450758e-14,-3.524958103184872e-15,3.3042145408668233e-15,-7.528699885739343e-15,-4.662069341687669e-16,0.9623441689258151,0.9623441689258151,0.0,0.0
1,1,1,8,0.800,0.016,-0.004676196576897477,-0.0047253805094434834,-6.333168634092712e-05,0.00013150553170454101,4.970659869666617e-05,169.82544157514354,2.2173235469935548e-14,-1.85268467234323e-15,3.997670250388552e-15,-2.7096380694757727e-15,-2.907830226606123e-15,1.2793516598660866,1.2793516598660866,0.0,0.0
1,1,1,9,0.900,0.018000000000000002,-0.005260721149009652,-0.005316053073123929,-7.124814713354663e-05,0.0001479437231675924,5.5919923533752935e-05,192.46883378516293,-3.39121092318706e-14,-1.8115717259625796e-14,-8.504481840976297e-16,-9.074338502834678e-15,-8.699638232023688e-16,1.6416459352263937,1.6416459352263937,0.0,0.0
1,1,1,10,1.000,0.02,-0.005845245721121844,-0.005906725636804353,-7.916460792616175e-05,0.0001643819146306821,6.213324837083137e-05,215.11222599518146,-3.822723387836291e-14,-3.910240187199321e-14,3.565290424001333e-15,-8.748210489351038e-15,-3.099734011136057e-15,2.0492269950067485,2.0492269950067485,0.0,0.0
1,1,2,1,1.100,0.022,-0.00642977029323402,-0.0064973982004848,-8.708106871877949e-05,0.0001808201060937235,6.834657320791971e-05,237.75561820520028,-1.7808671204377902e-14,3.4104663537704027e-15,6.171278765787491e-15,-1.16157083951407e-14,-2.151490791080235e-15,2.5020948392071225,2.5020948392071225,0.0,0.0
1,1,2,2,1.200,0.023999999999999997,-0.007014294865346215,-0.007088070764165225,-9.499752951138499e-05,0.00019725829755681384,7.45598980449953e-05,260.3990104152219,-3.0525929006763874e-14,-2.8456403899923544e-14,8.410806773273549e-15,-2.6680047060523293e-14,3.642919299551295e-17,3.0002494678275533,3.0002494678275533,0.0,0.0
1,1,2,3,1.300,0.025999999999999995,-0.007598819437458386,-0.007678743327845673,-0.00010291399030402214,0.0002136964890198634,8.077322288208993e-05,283.04240262524115,-3.401619264042921e-14,3.2890357104520263e-15,1.8414089697493807e-15,-7.029099524658022e-15,-9.707512571566213e-15,3.543690880867999,3.543690880867999,0.0,0.0
1,1,2,4,1.400,0.027999999999999994,-0.008183344009570577,-0.008269415891526096,-0.00011083045109661554,0.00023013468048294864,8.698654771915903e-05,305.68579483525946,-1.7892805292962777e-14,-3.759145772441741e-14,5.113097445441639e-15,-1.4981071938535706e-14,-2.1332761945824785e-15,4.132419078328519,4.132419078328519,0.0,0.0
