,Disp_0,Disp_1,Disp_2,Cauchy_0,Cauchy_1,Cauchy_2,Cauchy_3,Cauchy_4,Cauchy_5,PKII_0,PKII_1,PKII_2,PKII_3,PKII_4,PKII_5,Strain_0,Strain_1,Strain_2,Strain_3,Strain_4,Strain_5,Cauchy_vm,Statev_0,Statev_1,Statev_2,Statev_3,Statev_4,Statev_5,Statev_6,Statev_7,Wm_0,Wm_1,Wm_2,Wm_3
950,0.545621785256151,-5.118629727009543e-05,-0.002413567089189283,228.27463559410984,141.08745069647492,106.92547562107215,570.9087718899109,26.04351386144001,43.58083862671627,228.27463559410984,141.08745069647492,106.92547562107215,570.9087718899109,26.04351386144001,43.58083862671627,0.08020638959544549,-0.06692077820134262,-0.012333036270279533,0.5017730805708523,0.017967122846166483,0.01750842406497985,998.6442169162699,0.0,0.30151071167983556,0.07943703580695129,-0.06712341528800221,-0.01231362051894902,0.49435126653628325,0.017628557165967756,0.016941873162832546,241.77321559093443,-6.283192116020018,160.28538600001988,87.77102170693466
951,0.5465095062779708,-0.0003661815065258292,-0.0027187171457596286,-32.4710566970307,-102.67622368292126,-141.12368842415415,569.8713909867948,24.67801296132417,41.85696167257689,-32.4710566970307,-102.67622368292126,-141.12368842415415,569.8713909867948,24.67801296132417,41.85696167257689,0.07324478891403306,-0.05978270840469723,-0.014014622446943986,0.4973589271240208,0.016918344476212353,0.020174534924530124,995.2132531207054,0.0,0.2968111673056099,0.07304144432935762,-0.059529719403964405,-0.013511724925393145,0.48995059904119226,0.01659753030771514,0.01963039442278662,237.218092937031,-6.207911298704888,157.0332971710691,86.39270706466675
952,0.546963595193631,-0.000700742001379589,-0.003272066710524649,-263.4731942041904,-328.30887409991846,-367.653432550691,568.5968173525147,22.30411734924625,41.64087140367,-263.4731942041904,-328.30887409991846,-367.653432550691,568.5968173525147,22.30411734924625,41.64087140367,0.06727528188950496,-0.052589161826739554,-0.016604991064475008,0.49412667038407365,0.01489975277912572,0.024691020666936882,992.4232567008721,0.0,0.29300869995774625,0.06754870440055001,-0.051894307396372276,-0.015654397004177718,0.4867349117584909,0.014609799253585526,0.024149689338689165,234.44519449097893,-5.193695553530377,154.39092295172375,85.24796709278547
953,0.5468122721533563,-0.0012315203429854803,-0.004281155141985834,-565.8062708159068,-629.7906899707381,-671.2142231405189,567.5526023191451,18.04039855440526,44.89195123499569,-565.8062708159068,-629.7906899707381,-671.2142231405189,567.5526023191451,18.04039855440526,44.89195123499569,0.05970750336857552,-0.04252841768319156,-0.020912708053238294,0.4947858034407957,0.011914011207476627,0.032965523458340605,990.8735916850445,0.0,0.29085110611738685,0.06058502735298819,-0.04123499497427251,-0.019350032378715677,0.4874076196106469,0.011679486026269356,0.03238192809228566,235.98560096743566,-1.6042496853579957,152.92608905921276,84.66376159358093
954,0.5454556259535215,-0.002372078202338753,-0.0059353847365615315,-1105.4718871254754,-1167.6908896339985,-1219.9423358303297,568.3102461347167,10.235924143292813,55.113689297493245,-1105.4718871254754,-1167.6908896339985,-1219.9423358303297,568.3102461347167,10.235924143292813,55.113689297493245,0.04837288790093268,-0.026478334213840028,-0.028880763912272317,0.5071780597304509,0.008283237667252292,0.04654713956839835,994.0869866480386,0.0,0.2950362977038437,0.050318797498363564,-0.02412800110010374,-0.026190796398259875,0.4997900265306997,0.008150170653389483,0.04583066160753092,247.82051381122835,6.084056913766549,155.80451600858666,85.93194088887515
955,0.5421006498669385,-0.004037710712169478,-0.008389393252313544,-2971.112383438642,-3004.2480519322353,-3100.695349505233,566.514759775956,-35.2208625327179,99.2127495817337,-2971.112383438642,-3004.2480519322353,-3100.695349505233,566.514759775956,-35.2208625327179,99.2127495817337,0.018133927040048677,0.0067223407601032965,-0.043008379369904294,0.5276761604085037,-0.0055103835385571474,0.07550180125294599,1004.8203098357984,0.0,0.30944624526534525,0.02383207385508567,0.012635869420348647,-0.03646794327543443,0.5203114685314165,-0.005052512325631813,0.07421203550838344,335.11710416269364,80.47042873721077,165.29171312137842,89.35496230410432
956,0.5310904530969193,-0.011927069037071488,-0.014639882596677072,431.67129090210153,492.21528638513075,202.5501606397453,555.3414145385526,-73.39386155364733,162.8277156973406,431.67129090210153,492.21528638513075,202.5501606397453,555.3414145385526,-73.39386155364733,162.8277156973406,0.01025173116435515,0.08049705974885621,-0.08849591743735732,0.594056132507559,-0.0020428074866439025,0.1146691682892716,1044.483033965306,0.0,0.3663602473611808,0.00913552288038198,0.07898731549424332,-0.08812283837462521,0.5868366941185577,-0.0010886872864464847,0.11255240798520617,293.3175200567458,-16.180429239266473,204.95310819133076,104.54484110468162
957,0.6,0.0,0.0,-18841.324459695352,-18868.620287751954,-18863.35105987856,621.0076088130825,-6.088117438902511,-81.94903117629315,-18841.324459695352,-18868.620287751954,-18863.35105987856,621.0076088130825,-6.088117438902511,-81.94903117629315,0.10997349846752676,-0.22484336630761595,0.0017232762254372565,0.6110425662659258,-0.034269306829939596,-0.09524817379969558,1085.282671159422,0.0,0.4298173202967678,0.14758216374455782,-0.18705727814821693,0.03947511440365912,0.6029694673513559,-0.034190161303233865,-0.0941828363944038,943.7430322125479,567.6977936238256,253.0801085442253,122.96513004449768
958,0.6,0.0,0.0,-5311.020197807085,-5370.527143821238,-5333.769957178202,597.9863299186779,0.8531595292188152,54.77901303844878,-5311.020197807085,-5370.527143821238,-5333.769957178202,597.9863299186779,0.8531595292188152,54.77901303844878,0.09298101153210127,-0.12449537075431591,-0.0005162753753985654,0.5829770638291599,0.00010408537030579909,-0.0015163001540572374,1041.3799576683907,0.0,0.3616525977225462,0.10347966686963753,-0.11360992026768763,0.010130253398049963,0.575203241540217,9.299429642595325e-05,-0.0022284273235570733,260.8566526607971,-48.658296630000066,203.53444662326564,105.98050266753171
959,0.6,0.0,0.0,-2343.733193429082,-2400.3268547271487,-2364.1694117711513,586.2895149565298,2.0131886663361778,56.88263071695861,-2343.733193429082,-2400.3268547271487,-2364.1694117711513,586.2895149565298,2.0131886663361778,56.88263071695861,0.08086102061057313,-0.09512913329992452,5.165376949662346e-05,0.5504613586986236,0.004731956370734074,0.015482437020792338,1021.4642269613431,0.0,0.3345755491593323,0.0854329421779711,-0.09018935293408913,0.004756410756118037,0.5428395950041888,0.004705784918071704,0.014742962821471873,272.25016384826233,-10.433815511748639,184.23648184896933,98.44749751104156
